Word	POS
لاند	لاند/NOUN-FS
#	#/HASH
بلالا	بلالا/NOUN-MS
--------------------	-/PUNC
مفيش	ما/PART في/PREP+ش/NEG-PART
اوحش	أوحش/ADJ-MS
من	من/PREP
انك	إن/PART+ك/PRON
تكون	تكون/V
شخص	شخص/NOUN-MS
مزاجي	مزاجي/ADJ-MS
تفاصيل	تفاصيل/NOUN-FP
صغيرة	صغير/ADJ-FS+ة/NSUFF
ممكن	ممكن/ADJ-MS
تخليك	تخل/V+ي/PRON+ك/PRON
طاير	طاير/ADJ-MS
من	من/PREP
الفرحة	ال/DET+فرح/NOUN-FS+ة/NSUFF
...	./PUNC ./PUNC ./PUNC
وكلمة	و/CONJ+كلم/NOUN-FS+ة/NSUFF
صغيرة	صغير/ADJ-FS+ة/NSUFF
بردو	برضه/ADV
تنزلك	تنزل/V+ك/PRON
لسابع	ل/PREP+سابع/ADJ-MS
ارض	أرض/NOUN-FS
وتكئبك	و/CONJ+تكئب/V+ك/PRON
..	./PUNC ./PUNC
!	!/PUNC
--------------------	-/PUNC
عارف انت	عارف/ADJ-MS إنت/PRON
الصحاب	ال/DET+صحاب/NOUN-MP
الجدعة	ال/DET+جدع/ADJ-FS+ة/NSUFF
دى	دي/PRON
اللى	اللي/PRON
بتحبلك	ب/PROG-PART+تحب/V ل/PREP+ك/PRON
الخير	ال/DET+خير/NOUN-MS
و دايسة	و/CONJ+دايس/ADJ-MS+ة/NSUFF
معاك	معا/PART+ك/PRON
ف	في/PREP
كل	كل/NOUN-MS
حاجة	حاج/NOUN-FS+ة/NSUFF
!!	!/PUNC !/PUNC
؟	؟/PUNC
عارفهم	عارف/ADJ-MS+هم/PRON
؟	؟/PUNC
طب	طيب/ADJ-MS
و النبى	و/CONJ+ال/DET+نبي/NOUN-MS
معندكش	ما/PART عند/NOUN-MS+ك/PRON+ش/NEG-PART
اتنيين	اثنين/NUM
سلف	سلف/NOUN-MS
أكمل	أكمل/V
معاهم	معا/PART+هم/PRON
بقية	بقي/NOUN-FS+ة/NSUFF
عمرى	عمر/NOUN-MS+ي/PRON
=)	=)/EMOT
--------------------	-/PUNC
@MahaMaamoun	@MahaMaamoun/MENTION
فى ناس	في/PREP+ه/PRON ناس/NOUN-MP
بسيطة	بسيط/ADJ-FS+ة/NSUFF
كانوا	كان/V+وا/PRON
بيستلفوا	ب/PROG-PART+يستلف/V+وا/PRON
علشان	علشان/PART
يجيبوا	يجيب/V+وا/PRON
اكل	أكل/NOUN-MS
لعيالهم	ل/PREP+عيال/NOUN-MP+هم/PRON
والى	و/CONJ+اللي/PRON
محبوسين	محبوس/ADJ-MP+ين/NSUFF
معاهم	معا/PART+هم/PRON
من	من/PREP
الشباب	ال/DET+شباب/NOUN-MP
علشان	علشان/PART
فى ناس	في/PREP+ه/PRON ناس/NOUN-MP
مبيجلهاش	ما/PART ب/PROG-PART+يجي/V ل/PREP+ها/PRON+ش/NEG-PART
حد	حد/NOUN-MS
حاجة مؤلمة	حاج/NOUN-FS+ة/NSUFF مؤلم/ADJ-FS+ة/NSUFF
--------------------	-/PUNC
بيقولوا	ب/PROG-PART+يقول/V+وا/PRON
اللي	اللي/PRON
بيحبك	ب/PROG-PART+يحب/V+ك/PRON
هيبقى	ه/FUT-PART+يبقى/V
على	على/PREP
طبيعته	طبيع/NOUN-FS+ة/PRON+ه/PRON
معاك	معا/PART+ك/PRON
!	!/PUNC
بس	بس/ADV
اللي	اللي/PRON
بيعشقك	ب/PROG-PART+يعشق/V+ك/PRON
بقا	بقى/PART
هيعمل	ه/FUT-PART+يعمل/V
حاجات	حاج/NOUN-FP+ات/NSUFF
مش	مش/PART
من	من/PREP
طبيعته	طبيع/NOUN-FS+ة/NSUFF+ه/PRON
انه	أن/PART+ه/PRON
يعملها	يعمل/V+ها/PRON
عشان بس	علشان/PART بس/ADV
يرضيك	يرضي/V+ك/PRON
و يعجبك	و/CONJ+يعجب/V+ك/PRON
!	!/PUNC
--------------------	-/PUNC
بتحب	ب/PROG-PART+تحب/V
حد	حد/NOUN-MS
روح	روح/V
قوله	قول/V ل/PREP+ه/PRON
،	،/PUNC
مش	مش/PART
تقول	تقول/V
لأمه	ل/PREP+أم/NOUN-FS+ة/NSUFF
لا	لا/PART
إله	إله/NOUN-MS
إلا	إلا/PART
الله	الله/NOUN-MS
وهو	و/CONJ+هو/PRON
لأ	لا/PART
...	./PUNC ./PUNC ./PUNC
ولو	و/CONJ+لو/PART
بتكره	ب/PROG-PART+تكره/V
حد	حد/NOUN-MS
ابعد	ابعد/V
عنه	عن/PREP+ه/PRON
وكش	و/CONJ+مش/PART
مضطر	مضطر/ADJ-MS
تعيش	تعيش/V
حياتك	حيا/NOUN-FS+ة/NSUFF+ك/PRON
في	في/PREP
تمثيل	تمثيل/NOUN-MS
...	./PUNC ./PUNC ./PUNC
زعلان	زعلان/ADJ-MS
من	من/PREP
حد	حد/NOUN-MS
روح	روح/V
صفي	صف/V+ي/PRON
أمورك	أمور/NOUN-FP+ك/PRON
معاه	معا/PART+ه/PRON
--------------------	-/PUNC
عايزة	عايز/ADJ-FS+ة/NSUFF
أفضفض	أفضفض/V
من غير	من/PREP غير/NOUN-MS
ماحد	ما/PART حد/NOUN-MS
يقول	يقول/V
لي	ل/PREP+ي+/PRON
معلش	معلهش/ADV
أو	أو/CONJ
فُكك	فك/V+ك/PRON
أو	أو/CONJ
نفضي	نفض/V+ي/PRON
..	./PUNC ./PUNC
وده	و/CONJ+ده/PRON
مُستحيل	مستحيل/ADJ-MS
..	./PUNC ./PUNC
فبما	ف+/CONJ+ب/PREP+ما/PART
إنك	إن/PART+ك/PRON
سبب	سبب/NOUN-MS
قرفي	قرف/NOUN-MS+ي/PRON
فتعالى	ف+/CONJ+تعالى/V
أفضفضلك	أفضفض/V ل/PREP+ك/PRON
إنتَ	إنت/PRON
وحللي	و/CONJ+حل/V ل/PREP+ك/PRON
مشاكلنا	مشاكل/NOUN-FP+نا/PRON
!	!/PUNC
--------------------	-/PUNC
الواحد	ال/DET+واحد/NOUN-MS
لما	لما/PART
بينام	ب/PROG-PART+ينام/V
كتير	كثير/ADV
،	،/PUNC
بيحلم	ب/PROG-PART+يحلم/V
بأحلام	ب/PREP+أحلام/NOUN-FP
-	-/PUNC
هيا	هو/PRON
في	في/PREP
الأغلب	ال/DET+أغلب/ADJ-MS
هلاوس	هلاوس/NOUN-FP
او	أو/CONJ
حاجات	حاج/NOUN-FP+ات/NSUFF
تانية	ثاني/ADJ-FS+ة/NSUFF
،	،/PUNC
بس	بس/PART
المهم	ال/DET+مهم/ADJ-MS
مش	مش/PART
أحلام	أحلام/NOUN-FP
يعني	يعني/V
-	-/PUNC
مالهمش	ما/PART ل/PREP+هم/PRON+ش/NEG-PART
اي	أي/PART
علاقة	علاق/NOUN-FS+ة/NSUFF
ببعض	ب/PREP+بعض/NOUN-MS
،	،/PUNC
متتالية	متتالي/NOUN-FS+ة/NSUFF
،	،/PUNC
وغير	و/CONJ+غير/PART
منطقية	منطقي/ADJ-FS+ة/NSUFF
.	./PUNC
--------------------	-/PUNC
ف حاجه ظريفه	في/PREP+ه/PRON حاج/NOUN-FS+ة/NSUFF ظريف/ADJ-FS+ة/NSUFF
انا	أنا/PRON
شيرت	شير/V+ت/PRON
اغنيه	أغني/NOUN-FS+ة/NSUFF
رنوش	رنوش/NOUN-FS
ع	على/PREP
صفحات	صفح/NOUN-FP+ات/NSUFF
الموضه	ال/DET+موض/NOUN-FS+ة/NSUFF
والاكل	و/CONJ+ال/DET+أكل/NOUN-MS
وجابت	و/CONJ+جاب/V+ت/PRON
رودو	ردود/NOUN-FP
فعل	فعل/NOUN-MS
حلوة	حلو/ADJ-FS+ة/NSUFF
خصوصا	خصوصا/ADV
بتاعت	خاص/NOUN-FS+ة/NSUFF
الاكل	ال/DET+أكل/NOUN-MS
اللى	اللي/PRON
عنده	عند/NOUN-MS+ه/PRON
بقى	بقى/PART
بيج	بيج/NOUN-FS
تانى	تاني/ADJ-MS
يقولى	يقول/V ل/PREP+ي/PRON
#RanaSamahaTeam	#/HASH RanaSamahaTeam/FOREIGN
--------------------	-/PUNC
الدنيـــا دى	ال/DET+دنيا/NOUN-FS دي/PRON
عبارة	عبار/NOUN-FS+ة/NSUFF
عن	عن/PREP
امتحان	امتحان/NOUN-MS
و احنا	و/CONJ+نحن/PRON
فيه	في/PREP+ه/PRON
يوم ما	يوم/NOUN-MS ما/PART
الامتحان دة	ال/DET+امتحان/NOUN-MS ده/PART
بيخلص	ب/PROG-PART+يخلص/V
حياه	حيا/NOUN-FS+ة/NSUFF
الانسان	ال/DET+إنسان/NOUN-MS
كمان	كمان/ADV
بتخلص	ب/PROG-PART+تخلص/V
ساعتها	ساع/NOUN-FS+ة/NSUFF+ها/PRON
بقى	بقى/PART
بيروح	ب/PROG-PART+يروح/V
يجيب	يجيب/V
نتيجتة	نتيج/NOUN-FS+ة/NSUFF+ه/PRON
..	./PUNC ./PUNC
--------------------	-/PUNC
لمـآ	لما/PART
تيجي علي نفسك	تيج/V+ي/PRON على/PREP نفس/NOUN-FS+ك/PRON
كتير	كثير/ADV
آعرف	اعرف/V
أنك	أن/PART+ك/PRON
مـآشي	ماشي/ADJ-MS
غلط	خاطئ/NOUN-MS
:)	:)/EMOT
--------------------	-/PUNC
@HanyAEllatif	@HanyAEllatif/MENTION
لو ما فيش	لو/PART ما/PART في/PREP+ش/NEG-PART
اڤورة	أفور/NOUN-FS+ة/NSUFF
ما فيش	ما/PART في/PREP+ش/NEG-PART
مصريين	مصري/NOUN-MP+ين/NSUFF
..	./PUNC ./PUNC
ربنا	رب/NOUN-MS+نا/PRON
يخلينا	يخل/V+ي/PRON+نا/PRON
ونأڤور	و/CONJ+نأفور/V
كمان وكمان	كمان/ADV و/CONJ+كمان/ADV
..p:	..p:/EMOT
--------------------	-/PUNC
وبعدين	و/CONJ بعدين/ADV
انتوا	إنتو/PRON
ازاي	كيف/PART
تبدأوا	تبدأ/V+وا/PRON
دروس	دروس/NOUN-FP
من	من/PREP
قبل	قبل/NOUN-MS
الدراسة	ال/DET+دراس/NOUN-FS+ة/NSUFF
؟	؟/PUNC
ها	ها/PART
؟	؟/PUNC
يعني	يعني/V
ازاي	إزاي/PART
يكون	يكون/V
عندي	عند/NOUN-MS+ي/PRON
درس	درس/NOUN-MS
النهاردة	النهاردة/ADV
._.	._./EMOT
--------------------	-/PUNC
كنت	كن/V+ت/PRON
خايف	خائف/ADJ-MS
السيسي	ال/DET+سيسي/NOUN-MS
يطلع	يطلع/V
ذكي	ذكي/ADJ-MS
وميترشحش	و/CONJ+ما/PART يترشح/V+ش/NEG-PART
,,	,/PUNC ,/PUNC
الحمد	ال/DET+حمد/NOUN-MS
لله	ل/PREP+الله/NOUN-MS
الحمار	ال/DET+حمار/NOUN-MS
هيلبس	ه/FUT-PART+يلبس/V
:D	:D/EMOT
--------------------	-/PUNC
@hananalyaly@ahmedadel755	@hananalyaly@ahmedadel755/MENTION
هو	هو/PRON
وزير	وزير/NOUN-MS
دفاع	دفاع/NOUN-MS
فاهم	فاهم/ADJ-MS
كويس	كويس/ADV
حدود	حدود/NOUN-FP
منصبه	منصب/NOUN-MS+ه/PRON
واحترامه	و/CONJ+احترام/NOUN-MS+ه/PRON
ميصحش	ما/PART يصح/V+ش/NEG-PART
يتكلم	يتكلم/V
في	في/PREP
حاجة	حاج/NOUN-FS+ة/NSUFF
لسة	لسة/ADV
مش	مش/PART
موجودة	موجود/ADJ-FS+ة/NSUFF
--------------------	-/PUNC
شكلنا	شكل/NOUN-MS+نا/PRON
بلبس	ب/PREP+لبس/NOUN-MS
المدرسة	ال/DET+مدرس/NOUN-FS+ة/NSUFF
ده	ده/PRON
هيفضل	ه/FUT-PART+يفضل/V
نقطة	نقط/NOUN-FS+ة/NSUFF
سودة	سود/ADJ-FS+ة/NSUFF
في	في/PREP
حياتنا	حيا/NOUN-FS+ة/NSUFF+ك/PRON
طول ماحنا	طول/NOUN-MS ما/PART إحنا/PRON
عايشين	عايش/ADJ-MP+ين/NSUFF
،	،/PUNC
مأساه	مأسا/NOUN-FS+ة/NSUFF
.	./PUNC
--------------------	-/PUNC
من	من/PREP
النهارده	النهاردة/ADV
هيبدأ	ه/FUT-PART+يبدأ/V
الإعلام	ال/DET+إعلام/NOUN-MS
يتكلم	يتكلم/V
على	على/PREP
ان	إن/PART
اد ايه	قد/NOUN-MS إيه/PRON
مشاكل	مشاكل/NOUN-FP
مصر	مصر/NOUN-FS
كتيره	كتير/ADJ-FS+ة/NSUFF
وتحقيقها	و/CONJ+تحقيق/NOUN-MS+ها/PRON
صعب	صعب/ADJ-MS
فى	في/PREP
سنه	سن/NOUN-FS+ة/NSUFF
او	أو/CONJ
اتنين	اثنين/NUM
,	,/PUNC
ومحتاجه	و/CONJ+محتاج/ADJ-FS+ة/NSUFF
سنين	سن/NOUN-FP+ين/NSUFF
طويله	طويل/ADJ-FS+ة/NSUFF
علشان	علشان/PART
مصر	مصر/NOUN-FS
تتقدم	تتقدم/V
,	,/PUNC
ومحدش	و/CONJ+ما/PART حد/NOUN-MS+ش/NEG-PART
يستعجل	يستعجل/V
--------------------	-/PUNC
وعمالين	و/CONJ+عمال/ADV+ين/PRON
نقول فى نصايح	نقول/V في/PREP نصايح/NOUN-FP
واحنا	و/CONJ+إحنا/PRON
عاوزين	عايز/ADJ-MP+ين/NSUFF
اللى	اللي/PRON
ينصحنا	ينصح/V+نا/PRON
.	./PUNC
--------------------	-/PUNC
ياعم	يا/PART عم/NOUN-MS
اضحك	اضحك/V
ونبي	و/CONJ+ال/DET+نبي/NOUN-MS
قولي	قول/V ل/PREP+ي/PRON
أخدت إيه	أخد/V+ت/PRON إيه/PART 
من	من/PREP
الزعل	ال/DET+زعل/NOUN-MS
؟	؟/PUNC
ضحكه	ضحك/NOUN-FS+ة/NSUFF
بسيطه	بسيط/ADJ-FS+ة/NSUFF
في	في/PREP
أي	أي/PART
وقت	وقت/NOUN-MS
ممكن	ممكن/ADJ-MS
تديك	تد/V+ي/PRON+ك/PRON
أمل	أمل/NOUN-MS
:)	:)/EMOT
--------------------	-/PUNC
مبقتش	ما/PART بقى/V+ت/PRON+ش/NEG-PART
مشكله	مشكل/NOUN-FS+ة/NSUFF
انهم	إن/PART+هم/PRON
يدايقوك	يضايق/V+وا/PRON+ك/PRON
ولا	و/CONJ+لا/PART
حتى	حتى/PART
يزعلوك	يزعل/V+وا/PRON+ك/PRON
عادى	عادي/ADJ-MS
اصلا	أصلا/ADV
،	،/PUNC
المشكله	ال/DET+مشكل/NOUN-FS+ة/NSUFF
انك	إن/PART+ك/PRON
كنت	كن/V+ت/PRON
فاكرهم	فاكر/ADJ-MS+هم/PRON
حاجه تانيه	حاج/NOUN-FS+ة/NSUFF تاني/ADJ-FS+ة/NSUFF
غير كده	غير/NOUN-MS كده/ADV
#	#/HASH
دنيا	دنيا/NOUN-FS
#	#/HASH
اه	نعم/PART
_	_/PUNC
والله	و/CONJ+الله/NOUN-MS
--------------------	-/PUNC
عارف	عارف/ADJ-MS
اللي	اللي/PRON
بتصحى	ب/PROG-PART+تصحى/V
تكلمه	تكلم/V+ه/PRON
اول	أول/ADJ-MS
واحد	واحد/NOUN-MS
و قبل ما	و/CONJ+قبل/NOUN-MS ما/PART
تنام	تنام/V
يكون	يكون/V
هو	هو/PRON
اخر	آخر/ADJ-MS
واحد	واحد/NOUN-MS
مكلمه	مكلم/ADJ-MS+ه/PRON
؟	؟/PUNC
مفيش	ما/PART في/PREP+ش/NEG-PART
اهم	أهم/ADJ-MS
منه	من/PREP+ه/PRON
في	في/PREP
حياتك	حيا/NOUN-FS+ة/NSUFF+ك/PRON
--------------------	-/PUNC
وبما ان	و/CONJ+ب/PREP+ما/PART إن/PART
سواق	سواق/NOUN-MS
الميكروباص	ال/DET+ميكروباص/NOUN-MS
فى	في/PREP
البلد دى	ال/DET+بلد/NOUN-FS دي/PRON
بيتقاله	ب/PROG-PART+يتقال/V ل/PREP+ه/PRON
يا	يا/PART
يامشمهندس	يا/PART مشمهندس/NOUN-MS
فــ طبيعى	ف+/CONJ+طبيعي/ADJ-MS
جدا	جدا/ADV
ان	إن/PART
المهندس	ال/DET+مهندس/NOUN-MS
يتقاله	يتقال/V ل/PREP+ه/PRON
يا	يا/PART
اسطى	أسطى/NOUN-MS
#	#/HASH
مصر	مصر/NOUN-FS
--------------------	-/PUNC
مش هعرف	مش/PART ه/FUT-PART+أعرف/V
اوصل	أوصل/V
للالف	ل/PREP+ال/DET+ألف/NUM
ولا اية	و/CONJ+إلا/PART إيه/PART
.	./PUNC
كل ما	كل/NOUN-MS ما/PART
اقول	أقول/V
هانت	هان/V+ت/PRON
.	./PUNC
الاقي	ألاقي/V
كم حد	كم/NOUN-MS حد/NOUN-MS
عملي	عمل/V ل/PREP+ي/PRON
انفولو	أنفولو/NOUN-MS
.	./PUNC
حرام	حرام/NOUN-MS
عليكم	على/PREP+كم/PRON
مش كدة	مش/PART كده/ADV
.	./PUNC
هتعقدونا	ه/FUT-PART تعقد/V+وا/PRON+نا/PRON
في	في/PREP
نفسنا	نفس/NOUN-FS+نا/PRON
يا	يا/PART
جدعان	جدعان/NOUN-MP
.	./PUNC
