Fold,SubFold,SentID,Order,Word,,Segmentation,,,,,,,,,,,,,,,
3,A,9,3,اعطاوهم,,اعط+او+هم,,,,2,A,123,10,5,B,,,,,,
3,A,9,4,رحلة,,رحل+ة,,,,2,A,124,2,1,B,,,,,,
3,A,9,5,لمصر,,ل+مصر,,,,2,A,125,6,3,B,,,,,,
3,A,9,6,والأردن,,و+ال+أردن,,,,2,A,126,9,5,A,,,,,,
3,A,9,7,وبعتو,,و+بعت+و,,,,2,A,127,6,3,B,,,,,,
3,A,9,8,معم,,معم,,,,2,A,128,1,1,A,,,,,,
3,A,9,9,بسباس,,بسباس,,,,2,A,129,2,1,B,,,,,,
3,A,9,10,والمهرج,,و+ال+مهرج,,,,2,A,130,10,5,B,,,,,,
3,A,9,11,باش,,باش,,,,2,A,131,2,1,B,,,,,,
3,A,9,12,يعسوهم,,يعس+و+هم,,,,2,A,132,1,1,A,,,,,,
3,A,9,13,تفوه,,تفوه,,,,2,A,133,7,4,A,,,,,,
3,A,9,0,EOS,,EOS,,,,2,A,134,9,5,A,,,,,,
2,A,10,1,اخذي,,اخذي,,,,2,A,135,2,1,B,,,,,,
2,A,10,2,من,,من,,,,2,A,136,5,3,A,,,,,,
2,A,10,3,الي,,الي,,,,2,A,137,6,3,B,,,,,,
2,A,10,4,كان,,كان,,,,2,A,138,8,4,B,,,,,,
2,A,10,5,بغيك,,بغي+ك,,,,2,A,139,1,1,A,,,,,,
2,A,10,6,بزاف,,بزاف,,,,2,A,140,7,4,A,,,,,,
2,A,10,7,نموت,,نموت,,,,2,A,141,8,4,B,,,,,,
2,A,10,8,عليك,,علي+ك,,,,1,A,142,5,3,A,,,,,,
2,A,10,9,ابرك,,ابرك,,,,1,A,143,3,2,A,,,,,,
2,A,10,10,من,,من,,,,1,A,144,10,5,B,,,,,,
2,A,10,11,وجهين,,وجه+ين,,,,1,A,145,4,2,B,,,,,,
2,A,10,12,واي,,و+اي,,,,1,A,146,6,3,B,,,,,,
2,A,10,13,وانتا,,و+انتا,,,,1,A,147,10,5,B,,,,,,
2,A,10,0,EOS,,EOS,,,,1,A,148,2,1,B,,,,,,
5,A,11,1,استادة,,استاد+ة,,,,1,A,149,4,2,B,,,,,,
5,A,11,2,تسالالي,,تسالا+ل+ي,,,,1,A,150,1,1,A,,,,,,
5,A,11,3,الدفتر,,ال+دفتر,,,,1,A,151,1,1,A,,,,,,
5,A,11,4,واش,,واش,,,,1,A,152,4,2,B,,,,,,
5,A,11,5,نكمل,,نكمل,,,,1,A,153,6,3,B,,,,,,
5,A,11,6,فالكرطونة,,ف+ال+كرطون+ة,,,,1,A,154,1,1,A,,,,,,
5,A,11,0,EOS,,EOS,,,,1,A,155,6,3,B,,,,,,
5,A,12,1,اسمها,,اسم+ها,,,,5,A,156,1,1,A,,,,,,
5,A,12,2,راه,,را+ه,,,,5,A,157,7,4,A,,,,,,
5,A,12,3,كنبلوكيو,,ك+نبلوكي+و,,,,5,A,158,7,4,A,,,,,,
5,A,12,4,ها,,ها,,,,5,A,159,3,2,A,,,,,,
5,A,12,5,دخلي,,دخل+ي,,,,5,A,160,1,1,A,,,,,,
5,A,12,6,حتى,,حتى,,,,5,A,161,3,2,A,,,,,,
5,A,12,7,نتي,,نت+ي,,,,5,A,162,3,2,A,,,,,,
5,A,12,8,بلوكها,,بلوك+ها,,,,5,A,163,3,2,A,,,,,,
5,A,12,0,EOS,,EOS,,,,5,A,164,6,3,B,,,,,,
1,B,13,1,اكدولي,,اكد+و+ل+ي,,,,5,A,165,3,2,A,,,,,,
1,B,13,2,على,,على,,,,5,A,166,5,3,A,,,,,,
1,B,13,3,تريكو,,تريكو,,,,5,A,167,9,5,A,,,,,,
1,B,13,4,تاع,,تاع,,,,5,A,168,7,4,A,,,,,,
1,B,13,5,شبيبة,,شبيب+ة,,,,5,A,169,9,5,A,,,,,,
1,B,13,6,كوفيرتة,,كوفيرت+ة,,,,5,A,170,5,3,A,,,,,,
1,B,13,7,تاع,,تاع,,,,5,A,171,10,5,B,,,,,,
1,B,13,8,نمر,,نمر,,,,5,A,172,10,5,B,,,,,,
1,B,13,9,مت,,مت,,,,5,A,173,5,3,A,,,,,,
1,B,13,10,كثر,,كثر,,,,5,A,174,9,5,A,,,,,,
1,B,13,11,لغسيل,,ل+غسيل,,,,5,A,175,10,5,B,,,,,,
1,B,13,12,ولا,,ولا,,,,5,A,176,2,1,B,,,,,,
1,B,13,13,فهد,,فهد,,,,5,A,177,2,1,B,,,,,,
1,B,13,0,EOS,,EOS,,,,5,A,178,3,2,A,,,,,,
3,A,14,1,اكيد,,أكيد,,,,5,A,179,7,4,A,,,,,,
3,A,14,2,وليسا,,و+ليسا,,,,5,A,180,10,5,B,,,,,,
3,A,14,3,لي,,لي,,,,5,A,181,5,3,A,,,,,,
3,A,14,4,جاي,,جاي,,,,4,A,182,2,1,B,,,,,,
3,A,14,5,احلي,,احلي,,,,4,A,183,3,2,A,,,,,,
3,A,14,6,بلييز,,بلييز,,,,4,A,184,1,1,A,,,,,,
3,A,14,7,فاتي,,فاتي,,,,4,A,185,6,3,B,,,,,,
3,A,14,8,مالي,,مال+ي,,,,4,A,186,4,2,B,,,,,,
3,A,14,9,تهضرو,,تهضر+و,,,,4,A,187,3,2,A,,,,,,
3,A,14,10,معاها,,معا+ها,,,,4,A,188,6,3,B,,,,,,
3,A,14,11,غدا,,غدا,,,,4,A,189,6,3,B,,,,,,
3,A,14,12,عاودو,,عاود+و,,,,4,A,190,6,3,B,,,,,,
3,A,14,13,ليها,,لي+ها,,,,4,A,191,4,2,B,,,,,,
3,A,14,14,الهدرة,,ال+هدر+ة,,,,4,A,192,6,3,B,,,,,,
3,A,14,15,ديال,,ديال,,,,4,A,193,6,3,B,,,,,,
3,A,14,16,اليوم,,ال+يوم,,,,4,A,194,9,5,A,,,,,,
3,A,14,0,EOS,,EOS,,,,4,A,195,1,1,A,,,,,,
1,A,15,1,الا,,الا,,,,4,A,196,6,3,B,,,,,,
1,A,15,2,بغيتي,,ب+غي+ت+ي,,,,4,A,197,7,4,A,,,,,,
1,A,15,3,تلقا,,تلقا,,,,4,A,198,6,3,B,,,,,,
1,A,15,4,الديجيمون,,ال+ديجيمون,,,,4,A,199,7,4,A,,,,,,
1,A,15,5,الغابر,,ال+غابر,,,,4,A,200,4,2,B,,,,,,
1,A,15,6,شري,,شري,,,,4,A,201,9,5,A,,,,,,
1,A,15,7,بيمو,,بيمو,,,,4,A,202,5,3,A,,,,,,
1,A,15,8,ديال,,ديال,,,,4,A,203,5,3,A,,,,,,
1,A,15,9,مرجان,,مرجان,,,,4,A,204,8,4,B,,,,,,
1,A,15,0,EOS,,EOS,,,,3,A,205,4,2,B,,,,,,
5,B,16,1,البنات,,ال+بن+ات,,,,3,A,206,8,4,B,,,,,,
5,B,16,2,بليز,,بليز,,,,3,A,207,7,4,A,,,,,,
5,B,16,3,الله,,الله,,,,3,A,208,8,4,B,,,,,,
5,B,16,4,يخلي,,يخلي,,,,3,A,209,5,3,A,,,,,,
5,B,16,5,ليكم,,لي+كم,,,,3,A,210,4,2,B,,,,,,
5,B,16,6,معز,,معز,,,,3,A,211,1,1,A,,,,,,
5,B,16,7,عندكم,,عند+كم,,,,3,A,212,4,2,B,,,,,,
5,B,16,8,بلا,,ب+لا,,,,3,A,213,2,1,B,,,,,,
5,B,16,9,منفرقو,,م+نفرق+و,,,,3,A,214,9,5,A,,,,,,
5,B,16,10,ولادنا,,ولاد+نا,,,,3,A,215,9,5,A,,,,,,
5,B,16,11,رآه,,رآ+ه,,,,3,A,216,9,5,A,,,,,,
5,B,16,12,من,,من,,,,3,A,217,4,2,B,,,,,,
5,B,16,13,قبيلة,,قبيل+ة,,,,3,A,218,4,2,B,,,,,,
5,B,16,14,و,,و,,,,3,A,219,8,4,B,,,,,,
5,B,16,15,انا,,أنا,,,,3,A,220,1,1,A,,,,,,
5,B,16,16,كنبكي,,ك+نبكي,,,,3,A,221,5,3,A,,,,,,
5,B,16,17,بسباب,,ب+سباب,,,,3,A,222,4,2,B,,,,,,
5,B,16,18,هادشي,,هادشي,,,,3,A,223,1,1,A,,,,,,
5,B,16,19,ب,,ب,,,,3,A,224,1,1,A,,,,,,
5,B,16,0,EOS,,EOS,,,,3,A,225,9,5,A,,,,,,
5,A,17,1,البنت,,ال+بنت,,,,3,A,226,8,4,B,,,,,,
5,A,17,2,صدقات,,صدق+ات,,,,3,A,227,10,5,B,,,,,,
5,A,17,3,مراة,,مرا+ة,,,,3,A,228,7,4,A,,,,,,
5,A,17,4,لاخر,,لاخر,,,,3,A,229,5,3,A,,,,,,
5,A,17,5,گالت,,كال+ت,,,,3,A,230,3,2,A,,,,,,
5,A,17,6,لواكيل,,ل+واكيل,,,,3,A,231,9,5,A,,,,,,
5,A,17,7,المليك,,ال+مليك,,,,3,A,232,9,5,A,,,,,,
5,A,17,8,كنت,,كنت,,,,3,A,233,3,2,A,,,,,,
5,A,17,9,ا,,ا,,,,3,A,234,2,1,B,,,,,,
5,A,17,10,سيدي,,سيد+ي,,,,3,A,235,4,2,B,,,,,,
5,A,17,11,مع,,مع,,,,3,A,236,5,3,A,,,,,,
5,A,17,12,راجلي,,راجل+ي,,,,3,A,237,3,2,A,,,,,,
5,A,17,13,تا,,تا,,,,3,A,238,7,4,A,,,,,,
5,A,17,14,جا,,جا,,,,3,A,239,3,2,A,,,,,,
5,A,17,15,هجم,,هجم,,,,3,A,240,7,4,A,,,,,,
5,A,17,16,علينا,,علي+نا,,,,3,A,241,3,2,A,,,,,,
5,A,17,17,هاد,,هاد,,,,3,A,242,6,3,B,,,,,,
5,A,17,18,السيد,,ال+سيد,,,,3,A,243,4,2,B,,,,,,
5,A,17,19,صاحبي,,صاحب+ي,,,,3,A,244,9,5,A,,,,,,
5,A,17,20,ما,,ما,,,,3,A,245,2,1,B,,,,,,
5,A,17,21,فهم,,فهم,,,,3,A,246,8,4,B,,,,,,
5,A,17,22,تا,,تا,,,,3,A,247,7,4,A,,,,,,
5,A,17,23,حاجة,,حاجة,,,,3,A,248,8,4,B,,,,,,
5,A,17,24,من,,من,,,,5,A,249,6,3,B,,,,,,
5,A,17,25,ديك,,ديك,,,,5,A,250,6,3,B,,,,,,
5,A,17,26,الساع,,ال+ساع,,,,5,A,251,9,5,A,,,,,,
5,A,17,27,و,,و,,,,5,A,252,3,2,A,,,,,,
5,A,17,28,هو,,هو,,,,5,A,253,3,2,A,,,,,,
5,A,17,29,حاقد,,حاقد,,,,5,A,254,9,5,A,,,,,,
5,A,17,0,EOS,,EOS,,,,5,A,255,7,4,A,,,,,,
3,A,18,1,التخبية,,ال+تخبي+ة,,,,5,A,256,5,3,A,,,,,,
3,A,18,2,ديال,,ديال,,,,5,A,257,7,4,A,,,,,,
3,A,18,3,لاتروس,,لاتروس,,,,5,A,258,6,3,B,,,,,,
3,A,18,4,على,,على,,,,5,A,259,1,1,A,,,,,,
3,A,18,5,مولاها,,مولا+ها,,,,5,A,260,5,3,A,,,,,,
3,A,18,6,حتى,,حتى,,,,5,A,261,10,5,B,,,,,,
3,A,18,7,يقرب,,يقرب,,,,5,A,262,4,2,B,,,,,,
3,A,18,8,يشكم,,يشكم,,,,5,A,263,8,4,B,,,,,,
3,A,18,9,للمعلمة,,ل+ال+معلم+ة,,,,5,A,264,10,5,B,,,,,,
3,A,18,0,EOS,,EOS,,,,5,A,265,10,5,B,,,,,,
1,A,19,1,التمكريه,,ال+تمكري+ه,,,,5,A,266,8,4,B,,,,,,
1,A,19,2,ديال,,ديال,,,,5,A,267,9,5,A,,,,,,
1,A,19,3,تحط,,تحط,,,,5,A,268,10,5,B,,,,,,
1,A,19,4,كلاسور,,كلاسور,,,,5,A,269,10,5,B,,,,,,
1,A,19,5,في,,في,,,,5,A,270,2,1,B,,,,,,
1,A,19,6,الطاولة,,ال+طاول+ة,,,,5,A,271,2,1,B,,,,,,
1,A,19,7,باش,,باش,,,,5,A,272,7,4,A,,,,,,
1,A,19,8,ماينقلش,,ما+ينقل+ش,,,,5,A,273,7,4,A,,,,,,
1,A,19,9,منك,,منك,,,,5,A,274,8,4,B,,,,,,
1,A,19,10,صاحبك,,صاحب+ك,,,,5,A,275,7,4,A,,,,,,
1,A,19,0,EOS,,EOS,,,,5,A,276,1,1,A,,,,,,
3,A,20,1,الخلعة,,ال+خلع+ة,,,,5,A,277,2,1,B,,,,,,
3,A,20,2,لي,,لي,,,,5,A,278,6,3,B,,,,,,
3,A,20,3,فيا,,في+ا,,,,5,A,279,6,3,B,,,,,,
3,A,20,4,على,,على,,,,5,A,280,8,4,B,,,,,,
3,A,20,5,حنان,,حنان,,,,5,A,281,3,2,A,,,,,,
3,A,20,6,نضت,,نض+ت,,,,5,A,282,8,4,B,,,,,,
3,A,20,7,سرقت,,سرق+ت,,,,5,A,283,7,4,A,,,,,,
3,A,20,8,تيليفونات,,تيليفون+ات,,,,5,A,284,7,4,A,,,,,,
3,A,20,9,ديال,,ديال,,,,5,A,285,1,1,A,,,,,,
3,A,20,10,ما,,ما,,,,5,A,286,4,2,B,,,,,,
3,A,20,11,لين,,لين,,,,5,A,287,3,2,A,,,,,,
3,A,20,12,دار,,دار,,,,5,A,288,4,2,B,,,,,,
3,A,20,13,من,,من,,,,5,A,289,10,5,B,,,,,,
3,A,20,14,ماما,,ماما,,,,5,A,290,3,2,A,,,,,,
3,A,20,15,جدتي,,جد+ت+ي,,,,5,A,291,9,5,A,,,,,,
3,A,20,16,خويا,,خو+يا,,,,5,A,292,1,1,A,,,,,,
3,A,20,17,اختي,,أخت+ي,,,,5,A,293,5,3,A,,,,,,
3,A,20,18,او,,أو,,,,5,A,294,6,3,B,,,,,,
3,A,20,19,صوت,,صوت,,,,5,A,295,2,1,B,,,,,,
3,A,20,20,ليها,,لي+ها,,,,5,A,296,8,4,B,,,,,,
3,A,20,21,خيت,,خيت,,,,5,A,297,2,1,B,,,,,,
3,A,20,22,صوت,,صوت,,,,5,A,298,8,4,B,,,,,,
3,A,20,23,واحد,,واحد,,,,4,A,299,7,4,A,,,,,,
3,A,20,24,اقدر,,أقدر,,,,4,A,300,10,5,B,,,,,,
3,A,20,25,ادير,,ادير,,,,4,A,301,6,3,B,,,,,,
3,A,20,26,الفرق,,ال+فرق,,,,4,A,302,2,1,B,,,,,,
3,A,20,0,EOS,,EOS,,,,4,A,303,4,2,B,,,,,,
2,B,21,1,الدار,,ال+دار,,,,4,A,304,8,4,B,,,,,,
2,B,21,2,البيضاء,,ال+بيضاء,,,,4,A,305,3,2,A,,,,,,
2,B,21,3,هي,,هي,,,,4,A,306,5,3,A,,,,,,
2,B,21,4,بوعو,,بوعو,,,,4,A,307,10,5,B,,,,,,
2,B,21,5,ديال,,ديال,,,,4,A,308,3,2,A,,,,,,
2,B,21,6,المغرب,,ال+مغرب,,,,4,A,309,7,4,A,,,,,,
2,B,21,0,EOS,,EOS,,,,4,A,310,8,4,B,,,,,,
5,B,22,1,الدراري,,ال+دراري,,,,4,A,311,7,4,A,,,,,,
5,B,22,2,لاعبين,,لاعب+ين,,,,4,A,312,10,5,B,,,,,,
5,B,22,3,طاقرباق,,طاقرباق,,,,4,A,313,2,1,B,,,,,,
5,B,22,4,بالتصاور,,ب+ال+تصاور,,,,4,A,314,2,1,B,,,,,,
5,B,22,5,تاع,,تاع,,,,4,A,315,3,2,A,,,,,,
5,B,22,6,بانيني,,بانيني,,,,4,A,316,10,5,B,,,,,,
5,B,22,7,فالاستراحة,,ف+ال+استراح+ة,,,,4,A,317,7,4,A,,,,,,
5,B,22,0,EOS,,EOS,,,,4,A,318,10,5,B,,,,,,
3,B,23,1,الدفاتر,,ال+دفاتر,,,,4,A,319,5,3,A,,,,,,
3,B,23,2,ديال,,ديال,,,,4,A,320,8,4,B,,,,,,
3,B,23,3,رقة,,رق+ة,,,,4,A,321,6,3,B,,,,,,
3,B,23,4,ومصور,,و+مصور,,,,4,A,322,4,2,B,,,,,,
3,B,23,5,فيهم,,في+هم,,,,4,A,323,5,3,A,,,,,,
3,B,23,6,نمر,,نمر,,,,4,A,324,8,4,B,,,,,,
3,B,23,7,وجدول,,و+جدول,,,,3,A,325,1,1,A,,,,,,
3,B,23,8,الضرب,,ال+ضرب,,,,3,A,326,8,4,B,,,,,,
3,B,23,0,EOS,,EOS,,,,3,A,327,1,1,A,,,,,,
5,A,24,1,السقاية,,ال+سقاي+ة,,,,3,A,328,6,3,B,,,,,,
5,A,24,2,الجديدة,,ال+جديد+ة,,,,3,A,329,8,4,B,,,,,,
5,A,24,3,ديال,,ديال,,,,3,A,330,7,4,A,,,,,,
5,A,24,4,الدرب,,ال+درب,,,,3,A,331,7,4,A,,,,,,
5,A,24,5,فيفتي,,فيفتي,,,,3,A,332,3,2,A,,,,,,
5,A,24,6,فيفتي,,فيفتي,,,,3,A,333,10,5,B,,,,,,
5,A,24,7,ما,,ما,,,,3,A,334,4,2,B,,,,,,
5,A,24,8,مفاكينش,,م+فاك+ين+ش,,,,3,A,335,5,3,A,,,,,,
5,A,24,9,كونوا,,كون+وا,,,,3,A,336,5,3,A,,,,,,
5,A,24,10,شاهدين,,شاهد+ين,,,,3,A,337,1,1,A,,,,,,
5,A,24,0,EOS,,EOS,,,,3,A,338,7,4,A,,,,,,
1,B,25,1,السوهابين,,ال+سوهاب+ين,,,,3,A,339,3,2,A,,,,,,
1,B,25,2,واجدين,,واجد+ين,,,,3,A,340,3,2,A,,,,,,
1,B,25,3,خويا,,خو+يا,,,,3,A,341,9,5,A,,,,,,
1,B,25,4,عيسى,,عيسى,,,,3,A,342,7,4,A,,,,,,
1,B,25,5,من,,من,,,,3,A,343,4,2,B,,,,,,
1,B,25,6,درك,,درك,,,,4,A,344,9,5,A,,,,,,
1,B,25,7,في,,في,,,,4,A,345,2,1,B,,,,,,
1,B,25,8,خاطر,,خاطر,,,,4,A,346,2,1,B,,,,,,
