,"...""",". . . ""","...""",,"...""",
,...”,. . . ”,...”,,...”,
,...رجعت,. . . رجع+ت,...رجع+ت,,رجع+ت,
,...والتوفيق,. . . و+ال+توفيق,...والتوفيق,,و+ال+توفيق,
,..~,. . ~,..,,..~,
,..ارجعيلي,. . ارجعيلي,..ارجعيل+ي,,ارجع+ي+ل+ي,
x,..علي,. . علي,..عل+ي,,. . علي,
1,..لابغاها,. . ل+ابغا+ها,..لابغاه+ا,,ل+ابغا+ها,
,".""",". """,".""",,".""",
,.القلب,. ال+قلب,.القلب,,ال+قلب,
,',',ء,,',
,'$,' $,ءش,,'$,
,‹!,‹ !,‹!,,‹!,
,‹????ہ,‹ ? ? ? ? ہ,‹????ہ,,‹????ہ,
,‹?›,‹ ? ›,‹?›,,‹?›,
,‹›,‹ ›,‹›,,‹›,
,"""","""","""",,"""",
,"""?",""" ?","""?",,"""?",
,"""?""",""" ? ""","""?""",,"""?""",
,"""?~o).",""" ? ~ o ) .","""?).",,"""?~o).",
x,"""""الابتسامه",""" "" ال+ابتسامه","""""الابتسام+ه",,""" "" ال+ابتسام+ه",
,"""@iAlMarri_:",""" @ iAlMarriUNDERSCORE :","""@الMرر_:",,"""@iAlMarri_:",
,"""@MohdMamdooh:",""" @ MohdMamdooh :","""@MهدMمده:",,"""@MohdMamdooh:",
,"""@NawafAl9an3:",""" @ NawafAl9an3 :","""@وفال9ن3:",,"""@NawafAl9an3:",
,"""تنسى""",""" تنسى ""","""تنسى""",,تنسى,
,"""لازم",""" لازم","""لازم",,لازم,
x,"""مغنيك",""" مغني+ك","""مغني+ك",,""" مغني+ك",
,“@bwiwe:,“ @ bwiwe :,“@بووe:,,“@bwiwe:,
,“@HayaALshammri9:,“ @ HayaALshammri9 :,“@حياLسهممر9:,,“@HayaALshammri9:,
,“@nooon_47564:,“ @ nooonUNDERSCORE47564 :,“@نن_47564:,,“@nooon_47564:,
,“النسيان,“ ال+نسيان,“النسي+ان,,ال+نسيان,
,”لنفسك“,” ل+نفس+ك “,”لنفسك“,,ل+نفس+ك,
,(,(,(,,(,
,(:,( :,(:,,(:,
,((,( (,((,,((,
,((استهداف,( ( استهداف,((استهداف,,استهداف,
,(مافيك,( مافيك,(مافي+ك,,ما+في+ك,
,),),),,),
,):,) :,):,,):,
,)),) ),)),,)),
,[,[,[,,[,
,[??????????,[ ? ? ? ? ? ? ? ? ? ?,[??????????,,[??????????,
,],],],,],
,@150M7mad,@ 150M7mad,@150M7mad,,@150M7mad,
,@444Tf,@ 444Tf,@444Tf,,@444Tf,
,@Abu_khalid101,@ AbuUNDERSCOREkhalid101,@Abu_khalid101,,@Abu_khalid101,
,@abu_looz,@ abuUNDERSCORElooz,@abu_looz,,@abu_looz,
,@ABZayed,@ ABZayed,@ABZayed,,@ABZayed,
,@ahmed_ng505,@ ahmedUNDERSCOREng505,@ahmed_ng505,,@ahmed_ng505,
,@AlfahaQ8,@ AlfahaQ8,@AlfahaQ8,,@AlfahaQ8,
,@alflysy,@ alflysy,@alflysy,,@alflysy,
,@alhajrimeshal,@ alhajrimeshal,@alhajrimeshal,,@alhajrimeshal,
,@AliValco,@ AliValco,@AliValco,,@AliValco,
,@Aljazita,@ Aljazita,@Aljazita,,@Aljazita,
,@amnoh95,@ amnoh95,@amnoh95,,@amnoh95,
,@aseel_o,@ aseelUNDERSCOREo,@aseel_o,,@aseel_o,
,@azazzis,@ azazzis,@azazzis,,@azazzis,
,@b_damdoom,@ bUNDERSCOREdamdoom,@b_damdoom,,@b_damdoom,
,@Badar7_7,@ Badar7UNDERSCORE7,@Badar7_7,,@Badar7_7,
,@BesanSaad1,@ BesanSaad1,@BesanSaad1,,@BesanSaad1,
,@bn_whga,@ bnUNDERSCOREwhga,@bn_whga,,@bn_whga,
,@chanyol_,@ chanyolUNDERSCORE,@chanyol_,,@chanyol_,
,@Estabraq02,@ Estabraq02,@Estabraq02,,@Estabraq02,
,@Faisalalfadhle,@ Faisalalfadhle,@Faisalalfadhle,,@Faisalalfadhle,
,@FalconHurr,@ FalconHurr,@FalconHurr,,@FalconHurr,
,@Ghazi_alsmiri,@ GhaziUNDERSCOREalsmiri,@Ghazi_alsmiri,,@Ghazi_alsmiri,
,@hadeir_l,@ hadeirUNDERSCOREl,@hadeir_l,,@hadeir_l,
,@HalaFmradio,@ HalaFmradio,@HalaFmradio,,@HalaFmradio,
,@ibahrani,@ ibahrani,@ibahrani,,@ibahrani,
,@il_1i,@ ilUNDERSCORE1i,@il_1i,,@il_1i,
,@iraq_Mzage,@ iraqUNDERSCOREMzage,@iraq_Mzage,,@iraq_Mzage,
,@iSHATHA_OM,@ iSHATHAUNDERSCOREOM,@iSHATHA_OM,,@iSHATHA_OM,
,@khaleddlim,@ khaleddlim,@khaleddlim,,@khaleddlim,
,@lave25,@ lave25,@lave25,,@lave25,
,@LiliMoonl207,@ LiliMoonl207,@LiliMoonl207,,@LiliMoonl207,
,@MadihaAlsuliman,@ MadihaAlsuliman,@MadihaAlsuliman,,@MadihaAlsuliman,
,@MajHomesick,@ MajHomesick,@MajHomesick,,@MajHomesick,
,@MariamAlFalasi_,@ MariamAlFalasiUNDERSCORE,@MariamAlFalasi_,,@MariamAlFalasi_,
,@Mb06_111,@ Mb06UNDERSCORE111,@Mb06_111,,@Mb06_111,
,@miso_mesi10,@ misoUNDERSCOREmesi10,@miso_mesi10,,@miso_mesi10,
,@Nero_996,@ NeroUNDERSCORE996,@Nero_996,,@Nero_996,
,@nfouth,@ nfouth,@nfouth,,@nfouth,
,@noormohammad110,@ noormohammad110,@noormohammad110,,@noormohammad110,
,@nourhraibi91,@ nourhraibi91,@nourhraibi91,,@nourhraibi91,
,@Nurali8678,@ Nurali8678,@Nurali8678,,@Nurali8678,
,@qamshoie,@ qamshoie,@qamshoie,,@qamshoie,
,@radar_group99,@ radarUNDERSCOREgroup99,@radar_group99,,@radar_group99,
,@reem_qarni1,@ reemUNDERSCOREqarni1,@reem_qarni1,,@reem_qarni1,
,@Reemaalsaleem1,@ Reemaalsaleem1,@Reemaalsaleem1,,@Reemaalsaleem1,
,@Rfe3t_ALshan_QR,@ Rfe3tUNDERSCOREALshanUNDERSCOREQR,@Rfe3t_ALshan_QR,,@Rfe3t_ALshan_QR,
,@s_mmbs,@ sUNDERSCOREmmbs,@s_mmbs,,@s_mmbs,
,@Salam_Gnb,@ SalamUNDERSCOREGnb,@Salam_Gnb,,@Salam_Gnb,
,@sh3err_1,@ sh3errUNDERSCORE1,@sh3err_1,,@sh3err_1,
,@tagimlm77,@ tagimlm77,@tagimlm77,,@tagimlm77,
,@Teba1235,@ Teba1235,@Teba1235,,@Teba1235,
,@Wesal_TV,@ WesalUNDERSCORETV,@Wesal_TV,,@Wesal_TV,
,@Zimoya_AlQasmi??,@ ZimoyaUNDERSCOREAlQasmi ? ?,@Zimoya_AlQasmi??,,@Zimoya_AlQasmi??,
,*,*,ذ,,*,
,*أنتي,* أنت+ي,ذأن+تي,,أنت+ي,
x,*بغض,* ب+غض,ذبغض,,* ب+غض,
x,*قومي,* قومي,ذقوم+ي,,* قوم+ي,
,*ما,* ما,ذم+ا,,* ما,
,/,/,/,,/,
,#bahrain,# bahrain,#بهرن,,#bahrain,
,#HappyDay,# HappyDay,#حةةيض+ي,,#HappyDay,
,#happynessday,# happynessday,#هةةينeسسد+ي,,#happynessday,
,#hilal_sami,# hilalUNDERSCOREsami,#هلل_سم,,#hilal_sami,
,#iglt,# iglt,#غل+ت,,#iglt,
,#ksa,# ksa,#كس,,#ksa,
,#uae,# uae,#e,,#uae,
,#آمنتي??????.,# آمن+ت+ي ? ? ? ? ? ? .,#آمنتي??????.,,#آمنتي??????.,
,#أحمد_القصير,# أحمدUNDERSCOREالقصير,#أحمد_القصير,,#أحمد_القصير,
,#اصدم_التايم_بمعلومة_عنك,# اصدمUNDERSCOREالتايمUNDERSCOREبمعلومةUNDERSCOREعنك,#اصدم_التايم_بمعلومة_عنك,,#اصدم_التايم_بمعلومة_عنك,
,#اعتراف_تالي_الليل,# اعترافUNDERSCOREتاليUNDERSCOREالليل,#اعتراف_تالي_الليل,,#اعتراف_تالي_الليل,
,#افتخر_اني_ولا_مرة,# افتخرUNDERSCOREانيUNDERSCOREولاUNDERSCOREمرة,#افتخر_اني_ولا_مر+ة,,#افتخر_اني_ولا_مرة,
,#الإمارات,# ال+إمار+ات,#الإمارا+ت,,#الإمارات,
,#البحرين,# ال+بحرين,#البحر+ين,,#البحرين,
,#الحوت,# ال+حوت,#الحو+ت,,#الحوت,
,#الزواج_التقليدي,# الزواجUNDERSCOREالتقليدي,#الزواج_التقليد+ي,,#الزواج_التقليدي,
,#العذراء,# ال+عذراء,#العذراء,,#العذراء,
,#العراق_الصين,# العراقUNDERSCOREالصين,#العراق_الص+ين,,#العراق_الصين,
,#العكر,# ال+عكر,#العكر,,#العكر,
,#امي,# امي,#ام+ي,,#امي,
,#برت,# بر+ت,#بر+ت,,#برت,
,#بس_اقول,# بس_اقول,#بس_اقول,,#بس_اقول,
,#تربية,# تربي+ة,#تربي+ة,,#تربية,
,#جذبة_ابريل,# جذبةUNDERSCOREابريل,#جذبة_ابريل,,#جذبة_ابريل,
,#حمد_السعيد,# حمدUNDERSCOREالسعيد,#حمد_السعيد,,#حمد_السعيد,
,#خربشه_عاشق,# خربشهUNDERSCOREعاشق,#خربشه_عاشق,,#خربشه_عاشق,
,#خلع_عباءة_عضوة_الشورى,# خلعUNDERSCOREعباءةUNDERSCOREعضوةUNDERSCOREالشورى,#خلع_عباءة_عضوة_الشورى,,#خلع_عباءة_عضوة_الشورى,
,#د_العيدان,# دUNDERSCOREالعيدان,#د_العيد+ان,,#د_العيدان,
,#راحو,# راحو,#راحو,,#راحو,
,#رايف_العتيبي,# رايفUNDERSCOREالعتيبي,#رايف_العتيب+ي,,#رايف_العتيبي,
,#زين_تو_كذاك,# زينUNDERSCOREتوUNDERSCOREكذاك,#زين_تو_كذ+ا+ك,,#زين_تو_كذاك,
,#سوسيداد_يامخربطهم,# سوسيدادUNDERSCOREيامخربطهم,#سوسيداد_يامخربط+هم,,#سوسيداد_يامخربطهم,
,#ضاحي_خلفان_يتهم_السعوديات_بالدعارة,# ضاحيUNDERSCOREخلفانUNDERSCOREيتهمUNDERSCOREالسعودياتUNDERSCOREبالدعارة,#ضاحي_خلفان_يتهم_السعوديات_بالدعارة,,#ضاحي_خلفان_يتهم_السعوديات_بالدعارة,
,#غرد_وكأنك_المنظم,# غردUNDERSCOREوكأنكUNDERSCOREالمنظم,#غرد_وكأنك_المنظم,,#غرد_وكأنك_المنظم,
,#فانز_يارا,# فانزUNDERSCOREيارا,#فانز_يار+ا,,#فانز_يارا,
,#فيصل_الدهمشي,# فيصلUNDERSCOREالدهمشي,#فيصل_الدهمش+ي,,#فيصل_الدهمشي,
,#كله_من_المدرسة_الله_يلعنها:),# كلهUNDERSCOREمنUNDERSCOREالمدرسةUNDERSCOREاللهUNDERSCOREيلعنها : ),#كله_من_المدرسة_الله_يلعنها:),,#كله_من_المدرسة_الله_يلعنها:),
,#محمد_الصواغ,# محمدUNDERSCOREالصواغ,#محمد_الصواغ,,#محمد_الصواغ,
,#ن_ر,# نUNDERSCOREر,#ن_ر,,#ن_ر,
,#نتائج_الدبلوم_العام,# نتائجUNDERSCOREالدبلومUNDERSCOREالعام,#نتائج_الدبلوم_العام,,#نتائج_الدبلوم_العام,
,#هل_تقبل_الزواج_من_فتاة_تلعب_سوني,# هلUNDERSCOREتقبلUNDERSCOREالزواجUNDERSCOREمنUNDERSCOREفتاةUNDERSCOREتلعبUNDERSCOREسوني,#هل_تقبل_الزواج_من_فتاة_تلعب_سوني,,#هل_تقبل_الزواج_من_فتاة_تلعب_سوني,
,#ومضه,# ومض+ه,#ومض+ه,,#ومضه,
,•,•,•,,•,
,^,^,^,,^,
,^ما,^ ما,^م+ا,,^ما,
,<<,< <,إإ,,<<,
,<3<3,< 3 < 3,إ3إ3,,<3<3,
,=),= ),=),,=),
,~,~,,,~,
,"~(=|""","~ ( = | ""","(=آ""",,"~(=|""",
,~o),~ o ),),,~o),
,"~o).""","~ o ) . """,").""",,"~o).""",
,100000,100000,100000,,100000,
,11,11,11,,11,
,17,17,17,,17,
,18,18,18,,18,
,20,20,20,,20,
,200,200,200,,200,
,24,24,24,,24,
,27,27,27,,27,
,2700,2700,2700,,2700,
,3,3,3,,3,
,4,4,4,,4,
,45:10,45 : 10,45:10,,45:10,
,5,5,5,,5,
,6..,6 . .,6..,,6..,
,60:التويتس,60 : ال+تويتس,60:التويتس,,60 : ال+تويتس,
,99,99,99,,99,
,are,are,رe,,are,
,http://t.co/1ByhylYkgB,http : / / t . co / 1ByhylYkgB,http://t.co/1ByhylYkgB,,http://t.co/1ByhylYkgB,
,http://t.co/1rmt0mhvwm,http : / / t . co / 1rmt0mhvwm,http://t.co/1rmt0mhvwm,,http://t.co/1rmt0mhvwm,
,http://t.co/BFpVIQ3ecc,http : / / t . co / BFpVIQ3ecc,http://t.co/BFpVIQ3ecc,,http://t.co/BFpVIQ3ecc,
,http://t.co/HCnKaIKo8M,http : / / t . co / HCnKaIKo8M,http://t.co/HCnKaIKo8M,,http://t.co/HCnKaIKo8M,
,http://t.co/Hm5J1cAmvG,http : / / t . co / Hm5J1cAmvG,http://t.co/Hm5J1cAmvG,,http://t.co/Hm5J1cAmvG,
,http://t.co/HQwKmaZv04,http : / / t . co / HQwKmaZv04,http://t.co/HQwKmaZv04,,http://t.co/HQwKmaZv04,
,http://t.co/LLsAdb4W1T,http : / / t . co / LLsAdb4W1T,http://t.co/LLsAdb4W1T,,http://t.co/LLsAdb4W1T,
,http://t.co/mcV3w1c3fo,http : / / t . co / mcV3w1c3fo,http://t.co/mcV3w1c3fo,,http://t.co/mcV3w1c3fo,
,http://t.co/RMVxh0phvR,http : / / t . co / RMVxh0phvR,http://t.co/RMVxh0phvR,,http://t.co/RMVxh0phvR,
,http://t.co/W21kc91vjX,http : / / t . co / W21kc91vjX,http://t.co/W21kc91vjX,,http://t.co/W21kc91vjX,
,http://t.co/x3ADe2sBYn,http : / / t . co / x3ADe2sBYn,http://t.co/x3ADe2sBYn,,http://t.co/x3ADe2sBYn,
,http://t.co/yp0AC01h6P,http : / / t . co / yp0AC01h6P,http://t.co/yp0AC01h6P,,http://t.co/yp0AC01h6P,
,Keep,Keep,ee+ة,,Keep,
x,Mالشمري,Mالشمري,Mالشمر+ي,,Mالشمري,
,Original Word,Farasa,ARZ SEG,,GLF Segmentation,
,Smile,Smile,صملe,,Smile,
,sure,sure,سرe,,sure,
,therealbinbaz@,therealbinbaz @,تهeرeلبنبز@,,therealbinbaz@,
,you,you,ي,,you,
,آآآآه,آآآآه,آآآآ+ه,,آآآآه,
,آبد,آبد,آبد,,آبد,
,آثار,آثار,آثار,,آثار,
,آخر،,آخر ،,آخر،,,آخر ،,
x,آدمي,آدمي,آدم+ي,,آدمي,
,آعشق,آعشق,آعشق,,آعشق,
,آعشقك,آعشقك,آعشق+ك,,آعشق+ك,
,آكتبلك,آكتبلك,آكتبل+ك,,آكتب+ل+ك,
,آكل,آكل,آكل,,آكل,
,آكلك,آكل+ك,آكل+ك,,آكل+ك,
,آلمجالس,آلمجالس,آلمجالس,,آل+مجالس,
,آلمدرسه,آلمدرسه,آلمدرس+ه,,آل+مدرس+ه,
,آمالي,آمال+ي,آمال+ي,,آمال+ي,
,آني,آني,آن+ي,,آن+ي,
,آي,آي,آي,,آي,
x,أبا,أب+ا,أب+ا,,أب+ا,
,أبلعي,أبلع+ي,أبلع+ي,,أبلع+ي,
x,أبيات'ن',أبيات ' ن ',أبياتءنء,,أبيات ' ن ',
1,أبيخ,أبيخ,أبيخ,,أبيخ,
1,أبيك,أبيك,أب+ي+ك,,أبي+ك,x
,أتأثر,أتأثر,أتأثر,,أتأثر,
,أتخيل,أتخيل,أتخيل,,أتخيل,
1,أتميلح,أتميلح,أتميلح,,أتميلح,
,أثناء,أثناء,أثناء,,أثناء,
,أجمل,أجمل,أجمل,,أجمل,
1,أحاتيك,أحاتيك,أحات+ي+ك,,أحات+ي+ك,
,أحبک,أحب ک,أحبک,,أحب+ک,
,أحد,أحد,أحد,,أحد,
,أحدٍ,أحد,أحد,,أحد,
,أحزان,أحزان,أحزان,,أحزان,
,أحزانك،,أحزان+ك ،,أحزانك،,,أحزان+ك,
,أحسن,أحسن,أحسن,,أحسن,
,أحنا,أح+نا,أحنا,,أحنا,
,أخبار,أخبار,أخبار,,أخبار,
,أختك,أخت+ك,أخت+ك,,أخت+ك,
,أختها.,أخت+ها .,أختها.,,أخت+ها,
,أخذ,أخذ,أخذ,,أخذ,
,أخر,أخر,أخر,,أخر,
,أخلي,أخلي,أخلي,,أخلي,
,أدري,أدري,أدري,,أدري,
,أدله,أدل+ه,أدل+ه,,أدل+ه,
,أدور,أدور,أدور,,أدور,
1,أدورك,أدور+ك,أدور+ك,,أدور+ك,
1,أدورها,أدور+ها,أدور+ها,,أدور+ها,
1,أرجال,أرجال,أرجال,,أرجال,
,أرد,أرد,أرد,,أرد,
,أردد,أردد,أردد,,أردد,
,أرهابكم,أرهابكم,أرهاب+كم,,أرهاب+كم,
,أريد,أريد,أريد,,أريد,
,أساس,أساس,أساس,,أساس,
,أستاذه,أستاذ+ه,أستاذ+ه,,أستاذ+ه,
1,أستصاب,أستصاب,أستصاب,,أستصاب,
,أسدَل,أسدل,أسدل,,أسدل,
,أسماء,أسماء,أسماء,,أسماء,
,أسمع,أسمع,أسمع,,أسمع,
,أسمي,أسمي,أسم+ي,,أسم+ي,
,أسود,أسود,أسود,,أسود,
,أشتاقلك,أشتاقلك,أشتاق+ل+ك,,أشتاق+ل+ك,
,أشكي,أشك+ي,أشك+ي,,أشك+ي,
,أشواقه,أشواق+ه,أشواق+ه,,أشواق+ه,
,أشوف,أشوف,أشوف,,أشوف,
,أشوفك,أشوفك,أشوف+ك,,أشوف+ك,
,أشـوفــه,أشوف+ه,أشوف+ه,,أشوف+ه,
,أشوفها,أشوف+ها,أشوف+ها,,أشوف+ها,
,أصابعهم,أصابع+هم,أصابع+هم,,أصابع+هم,
,أصافحك,أصافحك,أصافح+ك,,أصافح+ك,
,أصغر,أصغر,أصغر,,أصغر,
,أصفق,أصفق,أصفق,,أصفق,
,أصيل,أصيل,أصيل,,أصيل,
,أطالع,أطالع,أطالع,,أطالع,
,أعتذر,أعتذر,أعتذر,,أعتذر,
,أعرف,أعرف,أعرف,,أعرف,
,أعط,أعط,أعط,,أعط,
,أعلم,أعلم,أعلم,,أعلم,
,أغراب,أغراب,أغراب,,أغراب,
1,أغليك,أغلي+ك,أغلي+ك,,أغلي+ك,
,أغير,أغير,أغير,,أغير,
1,أفا,أف+ا,أف+ا,,أفا,
,أفتح,أفتح,أفتح,,أفتح,
,أفرح,أفرح,أفرح,,أفرح,
,أقول,أقول,أقول,,أقول,
,أقوم,أقوم,أقوم,,أقوم,
,أكبر,أكبر,أكبر,,أكبر,
,أكثر,أكثر,أكثر,,أكثر,
,أكحل,أكحل,أكحل,,أكحل,
,أكرم,أكرم,أكرم,,أكرم,
,أكون,أكون,أكون,,أكون,
1,ألبيك,ألبي+ك,ألب+ي+ك,,ألبي+ك,
,ألسنتكم,ألسن+ت+كم,ألسن+ت+كم,,ألسن+ت+كم,
,ألف,ألف,ألف,,ألف,
,ألمس,ألمس,ألمس,,ألمس,
,أمر,أمر,أمر,,أمر,
,أمزح,أمزح,أمزح,,أمزح,
,أملک,أمل ک,أملک,,أمل+ک,و إن كآن تبغآني أحبک . . . و لآ أملک عآملني بـ صدق و لآ شوف لک غيري ?
,أمنياتي??,أمني+ات+ي ? ?,أمنياتي??,,أمني+ات+ي,
,أمه,أم+ه,أم+ه,,أم+ه,
x,أمه،قالت,أم+ه ، قال+ت,أمه،قال+ت,,أم+ه ، قال+ت,
,أمه:,أم+ه :,أمه:,,أم+ه,
,أمي,أم+ي,أم+ي,,أم+ي,
,أنا,أنا,أنا,,أنا,
,أنا.@Shownzii,أنا . @ Shownzii,أنا.@صهونز,,أنا.@Shownzii,
x,أناا,أنا+ا,أنا+ا,,أناا,
x,أنادي,أنادي,أناد+ي,,أنادي,
,أنت,أنت,أنت,,أنت,
,أنتظرها????,أنتظر+ها ? ? ? ?,أنتظرها????,,أنتظر+ها,
,أنتي,أنت+ي,أن+ت+ي,,أنت+ي,
,أنخرست,أنخرست,أنخرس+ت,,أنخرس+ت,
,أنصحه,أنصح+ه,أنصح+ه,,أنصح+ه,
,أنه,أن+ه,أن+ه,,أن+ه,
,أنواع,أنواع,أنواع,,أنواع,
,أنوح,أنوح,أنوح,,أنوح,
,أني,أن+ي,أني,,أن+ي,
,أهلي,أهلي,أهل+ي,,أهل+ي,
,أو,أو,أو,,أو,
,أوصف,أوصف,أوصف,,أوصف,
,أول,أول,أول,,أول,
,أي,أي,أي,,أي,
1,إبّسطة,إبسط+ة,إبسط+ة,,إبسط+ة,عفت تاج الذهب چا مشتريك بزود !؟ ورحت رايد أصيل إبّسطة الباله?  تلگالك چلب كلش سهل يفلان.. ?ن بس الچلاب إتدوّر إفضاله ??  #ومضه #د_العيدان
1,إتدوّر,إتدور,إتدور,,إتدور,
,إحط,إحط,إحط,,إحط,
,إذا,إذا,إذا,,إذا,
,إرهابيين,إرهابي+ين,إرهابي+ين,,إرهاب+ي+ين,
,إسبانيا,إسبانيا,إسباني+ا,,إسباني+ا,
,إسمحلنا,إسمحلنا,إسمح+ل+نا,,إسمح+ل+نا,
1,إش,إش,إش,,إش,
,إغراقي,إغراقي,إغراق+ي,,إغراق+ي,
,إفضاله,إفضال+ه,إفضال+ه,,إفضال+ه,
,إفكر,إفكر,إفكر,,إفكر,
,إلا,إلا,إلا,,إلا,
x,إلاا,إلا+ا,إلا+ا,,إلاا,
x,إللي,إللي,إللي,,إللي,
x,إلماما,إلمام+ا,إلمام+ا,,إل+ماما,ذا شسمه.. الفونات شكلها فدرج إلماما مثل ما يقولون ??؟
,إلى,إلى,إلى,,إلى,
x,إلي,إلي,إلي,,إلي,
,إن,إن,إن,,إن,
,إنت,إن+ت,إنت,,إنت,
,إنك,إن+ك,إن+ك,,إن+ك,
,إنه,إن+ه,إن+ه,,إن+ه,
,إنها,إن+ها,إن+ها,,إن+ها,
,إنو,إنو,إن+و,,إن+و,
,إني,إن+ي,إن+ي,,إن+ي,
,ا?,ا ?,ا?,,ا?,
x,ا?سد,ا ? سد,ا?سد,,ال+أسد,?سد يمشي على جرحة ومايبين بيه جريح  هذا طبعك يالعراقي  ومايصح ا? الصحيح
,ا?سلوبه,ا ? سلوب+ه,ا?سلوب+ه,,ال+اسلوبه,
,ا?نفس,ا ? نفس,ا?نفس,,ال+انفس,
,ا?يـام,ا ? يام,ا?يام,,ال+ايـام,
x,اااقللهن,اااقللهن,اااقللهن,,اااقلل+هن,
,االوقت,االوقت,االوق+ت,,الوقت,
,اب,اب,اب,,اب,تويتر واتز اب ع حسك والله ياعالم خنقتـه
,ابالغ,ابالغ,ابالغ,,ابالغ,
x,ابتسامة,ابتسام+ة,ابتسام+ة,,ابتسام+ة,
x,ابتسامه,ابتسام+ه,ابتسام+ه,,ابتسام+ه,
,ابتسم,ابتسم,ابتسم,,ابتسم,
,ابداً,ابدا,ابد+ا,,ابد+ا,x
,ابدل,ابدل,ابدل,,ابدل,
,ابريل,ابريل,ابريل,,ابريل,
,ابقي,ابقي,ابقي,,ابقي,x
,ابن,ابن,ابن,,ابن,
,ابو,ابو,ابو,,ابو,
x,ابوها,ابو+ها,اب+و+ها,,ابو+ها,
1,ابوي,ابوي,ابو+ي,,ابو+ي,
1,ابي,ابي,ابي,,ابي,
,ابيات,ابي+ات,ابي+ات,,ابيات,x
,ابيض,ابيض,ابيض,,ابيض,
1,ابيها,ابي+ها,اب+ي+ها,,ابي+ها,
1,ابيهم,ابي+هم,اب+ي+هم,,ابي+هم,
1,اتابعيني,اتابعيني,اتابع+ي+ني,,اتابع+ي+ني,
,اتجاهلها,اتجاهلها,اتجاهل+ها,,اتجاهل+ها,
,اتجبر,اتجبر,اتجبر,,اتجبر,
x,اتحداك,اتحداك,اتحد+ا+ك,,اتحدا+ك,
,اتحمل,اتحمل,اتحمل,,اتحمل,
,اتخلى,اتخلى,اتخلى,,اتخلى,
